VarName1,Unnamed0,CompanyName,Location,Datum,Detail,StatusRocket,Rocket,StatusMission,Country,lat,lon,Rocket_Fullname,Payload_Fullname,Rocket_Category
0,0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 07, 2020 05:12 UTC",Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50,Success,Florida,28.75,-82.5,Falcon 9 Block 5,Starlink V1 L9 & BlackSky,Falcon 9
1,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Aug 06, 2020 04:01 UTC",Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success,China,35,105,Long March 2D,Gaofen-9 04 & Q-SAT,Long March 2
2,2,SpaceX,"Pad A, Boca Chica, Texas, USA","Tue Aug 04, 2020 23:57 UTC",Starship Prototype | 150 Meter Hop,StatusActive,NaN,Success,USA,39.75,-98.3,Starship Prototype,150 Meter Hop,Starship Prototype
3,3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Jul 30, 2020 21:25 UTC",Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success,Kazakhstan,48,68,Proton-M/Briz-M,Ekspress-80 & Ekspress-103,Proton-M
4,4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jul 30, 2020 11:50 UTC",Atlas V 541 | Perseverance,StatusActive,145,Success,Florida,28.75,-82.5,Atlas V 541,Perseverance,Atlas V
5,5,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 25, 2020 03:13 UTC","Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success,China,35,105,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",Long March 4
6,6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jul 23, 2020 14:26 UTC",Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success,Kazakhstan,48,68,Soyuz 2.1a,Progress MS-15,Soyuz 2.1
7,7,CASC,"LC-101, Wenchang Satellite Launch Center, China","Thu Jul 23, 2020 04:41 UTC",Long March 5 | Tianwen-1,StatusActive,NaN,Success,China,35,105,Long March 5,Tianwen-1,Long March 5
8,8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Jul 20, 2020 21:30 UTC",Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success,Florida,28.75,-82.5,Falcon 9 Block 5,ANASIS-II,Falcon 9
9,9,JAXA,"LA-Y1, Tanegashima Space Center, Japan","Sun Jul 19, 2020 21:58 UTC",H-IIA 202 | Hope Mars Mission,StatusActive,90,Success,Japan,35.5,139.75,H-IIA 202,Hope Mars Mission,H-II
10,10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Wed Jul 15, 2020 13:46 UTC",Minotaur IV | NROL-129,StatusActive,46,Success,USA,39.75,-98.3,Minotaur IV,NROL-129,Minotaur
11,11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Jul 10, 2020 04:17 UTC","Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure,China,35,105,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2",Kuaizhou
12,12,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Jul 09, 2020 12:11 UTC",Long March 3B/E | Apstar-6D,StatusActive,29.15,Success,China,35,105,Long March 3B/E,Apstar-6D,Long March 3
13,13,IAI,"Pad 1, Palmachim Airbase, Israel","Mon Jul 06, 2020 01:00 UTC",Shavit-2 | Ofek-16,StatusActive,NaN,Success,Israel,31,34.9,Shavit-2,Ofek-16,Shavit
14,14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Jul 04, 2020 23:44 UTC",Long March 2D | Shiyan-6 02,StatusActive,29.75,Success,China,35,105,Long March 2D,Shiyan-6 02,Long March 2
15,15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jul 04, 2020 21:19 UTC",Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5,Failure,New Zealand,-42,174,Electron/Curie,Pics Or It Didn??¦t Happen,Electron
