VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
0,"Tsyklon-3",Yuzhmash,https://en.wikipedia.org/wiki/Tsyklon-3,Retired,3032,4.1,3,0,39,NaN,0,NaN,NaN,Tsyklon
1,"Tsyklon-4M",Yuzhnoye,https://en.wikipedia.org/wiki/Cyclone-4M,Planned,3130,5,2,0,38.7,45,0.91,4,NaN,Tsyklon
2,"Unha-2",KCST,https://en.wikipedia.org/wiki/Unha,Retired,1192,0.2,3,0,28,NaN,0,NaN,NaN,Unha
3,"Unha-3",KCST,https://en.wikipedia.org/wiki/Unha,Active,1192,0.2,3,0,32,NaN,0,1.3,NaN,Unha
4,"Vanguard",US Navy,https://en.wikipedia.org/wiki/Vanguard_(rocket),Retired,135,0.01,3,0,23,NaN,0,NaN,NaN,Vanguard
5,"Vector-H",Vector,https://en.wikipedia.org/wiki/Vector-H,Planned,175,0.15,2,0,18.3,3,0,0.6,0.8,Vector-H
6,"Vector-R",Vector,https://en.wikipedia.org/wiki/Vector-R,Planned,81,0.065,2,0,13,2,0,0.6,0.8,Vector-R
7,"Vega",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Active,2200,1.436,4,0,29.9,37,0,2.6,7.88,Vega
8,"Vega C",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Planned,4500,2.2,4,0,35,NaN,0,NaN,NaN,Vega C
9,"Vega E",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Planned,NaN,0,4,0,35,NaN,0,NaN,NaN,Vega E
10,"VLS-1",AEB,https://en.wikipedia.org/wiki/VLS-1,Active,623,0.38,3,4,19,NaN,0,1,NaN,VLS-1
11,"Volna",Makeyev,https://en.wikipedia.org/wiki/Volna,Retired,NaN,0.1,3,0,15,NaN,0,NaN,NaN,Volna
12,"Voskhod",OKB-1,https://en.wikipedia.org/wiki/Voskhod_(rocket),Retired,NaN,5.9,2,4,31,NaN,0,3,NaN,Voskhod
13,"Vostok",OKB-1,https://en.wikipedia.org/wiki/Vostok-K,Retired,3894,4.73,2,4,31,NaN,0,NaN,NaN,Vostok
14,"Vostok-2",OKB-1,https://en.wikipedia.org/wiki/Vostok-2_(rocket),Retired,995,4.73,2,4,NaN,NaN,0,NaN,NaN,Vostok
15,"Vostok-2A",OKB-1,https://en.wikipedia.org/wiki/Vostok_(rocket_family),Retired,NaN,4.5,3,4,NaN,NaN,0,NaN,NaN,Vostok
16,"Vostok-2M",OKB-1,https://en.wikipedia.org/wiki/Vostok-2M,Retired,NaN,0,3,4,NaN,NaN,0,NaN,NaN,Vostok
17,"Vulcan Centaur",ULA,https://en.wikipedia.org/wiki/Vulcan_%28rocket%29,Planned,NaN,17.8,2,NaN,58.3,NaN,15.3,5.4,NaN,Vulcan Centaur
18,"Zenit-2",Yuzhmash,https://en.wikipedia.org/wiki/Zenit-2,Retired,8181,1.2,2,0,57,NaN,5,4.1,13.7,Zenit
19,"Zenit-2 FG",Yuzhmash,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,Active,7400,11.74,2,0,57,NaN,4,4.1,10.4,Zenit
