Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Launch Site,Launch Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1HOPSAT,USA,Hera Systems,Commercial,Earth Observation,LEO,0.00,566,576,7.20E-04,36.90,96.08,22,12/11/19,0.5,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Cat-1,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,LEO,0.00,476,500,1.75E-03,97.40,95,4,11/29/18,,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalto-1,Finland,Aalto University,Civil,Technology Development,LEO,0.00,497,517,1.45E-03,97.45,94.7,5,6/23/17,2,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,0.00,442,687,1.77E-02,98.20,95.9,1,4/25/16,,Guiana Space Center,Soyuz 2.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75.00,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",2/6/14,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-75.00,"35,700","35,700",0.00E+00,0.00,1436.1,"1,800",6/15/16,15,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-3.00,"35,788","35,803",1.78E-04,0.10,1436,"2,000",3/2/15,15,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-4,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75.00,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143",3/13/04,12,Cape Canaveral,Atlas 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-6,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,159.00,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894",9/26/99,15,Baikonur Cosmodrome,Proton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-7,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500",9/4/99,15,Guiana Space Center,Ariane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
